numero,texto_quechua
1,huk
2,iskay
3,kinsa
4,tawa
5,pisq’a
6,soqta
7,qanchis
8,pusaq
9,isqon
10,Chunka
11,"Chunka hukniyoq"
12,"Chunka iskayniyoq"
13,"Chunka kinsayoq"
14,"Chunka tawayoq"
15,"Chunka pisq’ayoq"
16,"Chunka soqtayoq"
17,"Chunka qanchisniyoq"
18,"Chunka pusaqniyoq"
19,"Chunka isqonniyoq"
20,"iskay Chunka"
21,"iskay Chunka hukniyoq"
22,"iskay Chunka iskayniyoq"
23,"iskay Chunka kinsayoq"
24,"iskay Chunka tawayoq"
25,"iskay Chunka pisq’ayoq"
26,"iskay Chunka soqtayoq"
27,"iskay Chunka qanchisniyoq"
28,"iskay Chunka pusaqniyoq"
29,"iskay Chunka isqonniyoq"
30,"kinsa Chunka"
31,"kinsa Chunka hukniyoq"
32,"kinsa Chunka iskayniyoq"
33,"kinsa Chunka kinsayoq"
34,"kinsa Chunka tawayoq"
35,"kinsa Chunka pisq’ayoq"
36,"kinsa Chunka soqtayoq"
37,"kinsa Chunka qanchisniyoq"
38,"kinsa Chunka pusaqniyoq"
39,"kinsa Chunka isqonniyoq"
40,"tawa Chunka"
41,"tawa Chunka hukniyoq"
42,"tawa Chunka iskayniyoq"
43,"tawa Chunka kinsayoq"
44,"tawa Chunka tawayoq"
45,"tawa Chunka pisq’ayoq"
46,"tawa Chunka soqtayoq"
47,"tawa Chunka qanchisniyoq"
48,"tawa Chunka pusaqniyoq"
49,"tawa Chunka isqonniyoq"
50,"pisq’a Chunka"
51,"pisq’a Chunka hukniyoq"
52,"pisq’a Chunka iskayniyoq"
53,"pisq’a Chunka kinsayoq"
54,"pisq’a Chunka tawayoq"
55,"pisq’a Chunka pisq’ayoq"
56,"pisq’a Chunka soqtayoq"
57,"pisq’a Chunka qanchisniyoq"
58,"pisq’a Chunka pusaqniyoq"
59,"pisq’a Chunka isqonniyoq"
60,"soqta Chunka"
61,"soqta Chunka hukniyoq"
62,"soqta Chunka iskayniyoq"
63,"soqta Chunka kinsayoq"
64,"soqta Chunka tawayoq"
65,"soqta Chunka pisq’ayoq"
66,"soqta Chunka soqtayoq"
67,"soqta Chunka qanchisniyoq"
68,"soqta Chunka pusaqniyoq"
69,"soqta Chunka isqonniyoq"
70,"qanchis Chunka"
71,"qanchis Chunka hukniyoq"
72,"qanchis Chunka iskayniyoq"
73,"qanchis Chunka kinsayoq"
74,"qanchis Chunka tawayoq"
75,"qanchis Chunka pisq’ayoq"
76,"qanchis Chunka soqtayoq"
77,"qanchis Chunka qanchisniyoq"
78,"qanchis Chunka pusaqniyoq"
79,"qanchis Chunka isqonniyoq"
80,"pusaq Chunka"
81,"pusaq Chunka hukniyoq"
82,"pusaq Chunka iskayniyoq"
83,"pusaq Chunka kinsayoq"
84,"pusaq Chunka tawayoq"
85,"pusaq Chunka pisq’ayoq"
86,"pusaq Chunka soqtayoq"
87,"pusaq Chunka qanchisniyoq"
88,"pusaq Chunka pusaqniyoq"
89,"pusaq Chunka isqonniyoq"
90,"isqon Chunka"
91,"isqon Chunka hukniyoq"
92,"isqon Chunka iskayniyoq"
93,"isqon Chunka kinsayoq"
94,"isqon Chunka tawayoq"
95,"isqon Chunka pisq’ayoq"
96,"isqon Chunka soqtayoq"
97,"isqon Chunka qanchisniyoq"
98,"isqon Chunka pusaqniyoq"
99,"isqon Chunka isqonniyoq"
100,Pachak
101,"Pachak hukniyoq"
102,"Pachak iskayniyoq"
103,"Pachak kinsayoq"
104,"Pachak tawayoq"
105,"Pachak pisq’ayoq"
106,"Pachak soqtayoq"
107,"Pachak qanchisniyoq"
108,"Pachak pusaqniyoq"
109,"Pachak isqonniyoq"
110,"Pachak Chunka"
111,"Pachak Chunka hukniyoq"
112,"Pachak Chunka iskayniyoq"
113,"Pachak Chunka kinsayoq"
114,"Pachak Chunka tawayoq"
115,"Pachak Chunka pisq’ayoq"
116,"Pachak Chunka soqtayoq"
117,"Pachak Chunka qanchisniyoq"
118,"Pachak Chunka pusaqniyoq"
119,"Pachak Chunka isqonniyoq"
120,"Pachak iskay Chunka"
121,"Pachak iskay Chunka hukniyoq"
122,"Pachak iskay Chunka iskayniyoq"
123,"Pachak iskay Chunka kinsayoq"
124,"Pachak iskay Chunka tawayoq"
125,"Pachak iskay Chunka pisq’ayoq"
126,"Pachak iskay Chunka soqtayoq"
127,"Pachak iskay Chunka qanchisniyoq"
128,"Pachak iskay Chunka pusaqniyoq"
129,"Pachak iskay Chunka isqonniyoq"
130,"Pachak kinsa Chunka"
131,"Pachak kinsa Chunka hukniyoq"
132,"Pachak kinsa Chunka iskayniyoq"
133,"Pachak kinsa Chunka kinsayoq"
134,"Pachak kinsa Chunka tawayoq"
135,"Pachak kinsa Chunka pisq’ayoq"
136,"Pachak kinsa Chunka soqtayoq"
137,"Pachak kinsa Chunka qanchisniyoq"
138,"Pachak kinsa Chunka pusaqniyoq"
139,"Pachak kinsa Chunka isqonniyoq"
140,"Pachak tawa Chunka"
141,"Pachak tawa Chunka hukniyoq"
142,"Pachak tawa Chunka iskayniyoq"
143,"Pachak tawa Chunka kinsayoq"
144,"Pachak tawa Chunka tawayoq"
145,"Pachak tawa Chunka pisq’ayoq"
146,"Pachak tawa Chunka soqtayoq"
147,"Pachak tawa Chunka qanchisniyoq"
148,"Pachak tawa Chunka pusaqniyoq"
149,"Pachak tawa Chunka isqonniyoq"
150,"Pachak pisq’a Chunka"
151,"Pachak pisq’a Chunka hukniyoq"
152,"Pachak pisq’a Chunka iskayniyoq"
153,"Pachak pisq’a Chunka kinsayoq"
154,"Pachak pisq’a Chunka tawayoq"
155,"Pachak pisq’a Chunka pisq’ayoq"
156,"Pachak pisq’a Chunka soqtayoq"
157,"Pachak pisq’a Chunka qanchisniyoq"
158,"Pachak pisq’a Chunka pusaqniyoq"
159,"Pachak pisq’a Chunka isqonniyoq"
160,"Pachak soqta Chunka"
161,"Pachak soqta Chunka hukniyoq"
162,"Pachak soqta Chunka iskayniyoq"
163,"Pachak soqta Chunka kinsayoq"
164,"Pachak soqta Chunka tawayoq"
165,"Pachak soqta Chunka pisq’ayoq"
166,"Pachak soqta Chunka soqtayoq"
167,"Pachak soqta Chunka qanchisniyoq"
168,"Pachak soqta Chunka pusaqniyoq"
169,"Pachak soqta Chunka isqonniyoq"
170,"Pachak qanchis Chunka"
171,"Pachak qanchis Chunka hukniyoq"
172,"Pachak qanchis Chunka iskayniyoq"
173,"Pachak qanchis Chunka kinsayoq"
174,"Pachak qanchis Chunka tawayoq"
175,"Pachak qanchis Chunka pisq’ayoq"
176,"Pachak qanchis Chunka soqtayoq"
177,"Pachak qanchis Chunka qanchisniyoq"
178,"Pachak qanchis Chunka pusaqniyoq"
179,"Pachak qanchis Chunka isqonniyoq"
180,"Pachak pusaq Chunka"
181,"Pachak pusaq Chunka hukniyoq"
182,"Pachak pusaq Chunka iskayniyoq"
183,"Pachak pusaq Chunka kinsayoq"
184,"Pachak pusaq Chunka tawayoq"
185,"Pachak pusaq Chunka pisq’ayoq"
186,"Pachak pusaq Chunka soqtayoq"
187,"Pachak pusaq Chunka qanchisniyoq"
188,"Pachak pusaq Chunka pusaqniyoq"
189,"Pachak pusaq Chunka isqonniyoq"
190,"Pachak isqon Chunka"
191,"Pachak isqon Chunka hukniyoq"
192,"Pachak isqon Chunka iskayniyoq"
193,"Pachak isqon Chunka kinsayoq"
194,"Pachak isqon Chunka tawayoq"
195,"Pachak isqon Chunka pisq’ayoq"
196,"Pachak isqon Chunka soqtayoq"
197,"Pachak isqon Chunka qanchisniyoq"
198,"Pachak isqon Chunka pusaqniyoq"
199,"Pachak isqon Chunka isqonniyoq"
200,"iskay Pachak"
201,"iskay Pachak hukniyoq"
202,"iskay Pachak iskayniyoq"
203,"iskay Pachak kinsayoq"
204,"iskay Pachak tawayoq"
205,"iskay Pachak pisq’ayoq"
206,"iskay Pachak soqtayoq"
207,"iskay Pachak qanchisniyoq"
208,"iskay Pachak pusaqniyoq"
209,"iskay Pachak isqonniyoq"
210,"iskay Pachak Chunka"
211,"iskay Pachak Chunka hukniyoq"
212,"iskay Pachak Chunka iskayniyoq"
213,"iskay Pachak Chunka kinsayoq"
214,"iskay Pachak Chunka tawayoq"
215,"iskay Pachak Chunka pisq’ayoq"
216,"iskay Pachak Chunka soqtayoq"
217,"iskay Pachak Chunka qanchisniyoq"
218,"iskay Pachak Chunka pusaqniyoq"
219,"iskay Pachak Chunka isqonniyoq"
220,"iskay Pachak iskay Chunka"
221,"iskay Pachak iskay Chunka hukniyoq"
222,"iskay Pachak iskay Chunka iskayniyoq"
223,"iskay Pachak iskay Chunka kinsayoq"
224,"iskay Pachak iskay Chunka tawayoq"
225,"iskay Pachak iskay Chunka pisq’ayoq"
226,"iskay Pachak iskay Chunka soqtayoq"
227,"iskay Pachak iskay Chunka qanchisniyoq"
228,"iskay Pachak iskay Chunka pusaqniyoq"
229,"iskay Pachak iskay Chunka isqonniyoq"
230,"iskay Pachak kinsa Chunka"
231,"iskay Pachak kinsa Chunka hukniyoq"
232,"iskay Pachak kinsa Chunka iskayniyoq"
233,"iskay Pachak kinsa Chunka kinsayoq"
234,"iskay Pachak kinsa Chunka tawayoq"
235,"iskay Pachak kinsa Chunka pisq’ayoq"
236,"iskay Pachak kinsa Chunka soqtayoq"
237,"iskay Pachak kinsa Chunka qanchisniyoq"
238,"iskay Pachak kinsa Chunka pusaqniyoq"
239,"iskay Pachak kinsa Chunka isqonniyoq"
240,"iskay Pachak tawa Chunka"
241,"iskay Pachak tawa Chunka hukniyoq"
242,"iskay Pachak tawa Chunka iskayniyoq"
243,"iskay Pachak tawa Chunka kinsayoq"
244,"iskay Pachak tawa Chunka tawayoq"
245,"iskay Pachak tawa Chunka pisq’ayoq"
246,"iskay Pachak tawa Chunka soqtayoq"
247,"iskay Pachak tawa Chunka qanchisniyoq"
248,"iskay Pachak tawa Chunka pusaqniyoq"
249,"iskay Pachak tawa Chunka isqonniyoq"
250,"iskay Pachak pisq’a Chunka"
251,"iskay Pachak pisq’a Chunka hukniyoq"
252,"iskay Pachak pisq’a Chunka iskayniyoq"
253,"iskay Pachak pisq’a Chunka kinsayoq"
254,"iskay Pachak pisq’a Chunka tawayoq"
255,"iskay Pachak pisq’a Chunka pisq’ayoq"
256,"iskay Pachak pisq’a Chunka soqtayoq"
257,"iskay Pachak pisq’a Chunka qanchisniyoq"
258,"iskay Pachak pisq’a Chunka pusaqniyoq"
259,"iskay Pachak pisq’a Chunka isqonniyoq"
260,"iskay Pachak soqta Chunka"
261,"iskay Pachak soqta Chunka hukniyoq"
262,"iskay Pachak soqta Chunka iskayniyoq"
263,"iskay Pachak soqta Chunka kinsayoq"
264,"iskay Pachak soqta Chunka tawayoq"
265,"iskay Pachak soqta Chunka pisq’ayoq"
266,"iskay Pachak soqta Chunka soqtayoq"
267,"iskay Pachak soqta Chunka qanchisniyoq"
268,"iskay Pachak soqta Chunka pusaqniyoq"
269,"iskay Pachak soqta Chunka isqonniyoq"
270,"iskay Pachak qanchis Chunka"
271,"iskay Pachak qanchis Chunka hukniyoq"
272,"iskay Pachak qanchis Chunka iskayniyoq"
273,"iskay Pachak qanchis Chunka kinsayoq"
274,"iskay Pachak qanchis Chunka tawayoq"
275,"iskay Pachak qanchis Chunka pisq’ayoq"
276,"iskay Pachak qanchis Chunka soqtayoq"
277,"iskay Pachak qanchis Chunka qanchisniyoq"
278,"iskay Pachak qanchis Chunka pusaqniyoq"
279,"iskay Pachak qanchis Chunka isqonniyoq"
280,"iskay Pachak pusaq Chunka"
281,"iskay Pachak pusaq Chunka hukniyoq"
282,"iskay Pachak pusaq Chunka iskayniyoq"
283,"iskay Pachak pusaq Chunka kinsayoq"
284,"iskay Pachak pusaq Chunka tawayoq"
285,"iskay Pachak pusaq Chunka pisq’ayoq"
286,"iskay Pachak pusaq Chunka soqtayoq"
